age,embarked,fare,name,parch,passengerid,pclass,sex,sibsp,survived,test,ticket,train,family_size,title,ticket_number,group_size,family_size_cat,group_size_cat,is_alone,has_family,has_group,sex_0,sex_1,title_1,title_2,title_3,title_4,title_5,title_6,embarked_1,embarked_2,embarked_3,family_size_1,family_size_2,family_size_3,group_size_1,group_size_2,group_size_3,true_fare,true_fare_scaled,age_scaled,family_scaled,group_scaled
22.0,1.0,7.25,"Braund, Mr. Owen Harris",0,1,3,0,1,0,,A/5 21171,1.0,2,1,21171,1,2,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,7.25,0.056605246720799494,0.2734560942001754,0.1,0.0
38.0,2.0,71.2833,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,2,1,1,1,1,,PC 17599,1.0,2,2,17599,2,2,2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,35.64,0.27826358525921296,0.4738819992484029,0.1,0.1
26.0,1.0,7.925,"Heikkinen, Miss. Laina",0,3,3,1,0,1,,STON/O2. 3101282,1.0,1,3,3101282,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,7.92,0.061836352279825105,0.32356257046223225,0.0,0.0
35.0,1.0,53.1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,4,1,1,1,1,,113803,1.0,2,2,113803,2,2,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,26.55,0.20729231730168643,0.43630214205186024,0.1,0.1
35.0,1.0,8.05,"Allen, Mr. William Henry",0,5,3,0,0,0,,373450,1.0,1,1,373450,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.05,0.06285134291068083,0.43630214205186024,0.0,0.0
30.0,3.0,8.4583,"Moran, Mr. James",0,6,3,0,0,0,,330877,1.0,1,1,330877,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,8.46,0.066052467207995,0.37366904672428913,0.0,0.0
54.0,1.0,51.8625,"McCarthy, Mr. Timothy J",0,7,1,0,0,0,,17463,1.0,1,1,17463,2,1,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,25.93,0.2024515927545284,0.6743079042966303,0.0,0.1
2.0,1.0,21.075,"Palsson, Master. Gosta Leonard",1,8,3,0,3,0,,349909,1.0,5,4,349909,5,3,3,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,4.22,0.032948157401623976,0.02292371288989102,0.4,0.4
27.0,1.0,11.1333,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",2,9,3,1,0,1,,347742,1.0,3,2,347742,3,2,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3.71,0.028966271080574636,0.33608918952774647,0.20000000000000004,0.20000000000000004
14.0,2.0,30.0708,"Nasser, Mrs. Nicholas (Adele Achem)",0,10,2,1,1,1,,237736,1.0,2,2,237736,2,2,2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,15.04,0.11742660836976887,0.17324314167606164,0.1,0.1
4.0,1.0,16.7,"Sandstrom, Miss. Marguerite Rut",1,11,3,1,1,1,,PP 9549,1.0,3,3,9549,3,2,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,5.57,0.043488444722048714,0.04797695102091946,0.20000000000000004,0.20000000000000004
58.0,1.0,26.55,"Bonnell, Miss. Elizabeth",0,12,1,1,0,1,,113783,1.0,1,3,113783,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,26.55,0.20729231730168643,0.7244143805586872,0.0,0.0
20.0,1.0,8.05,"Saundercock, Mr. William Henry",0,13,3,0,0,0,,A/5. 2151,1.0,1,1,2151,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.05,0.06285134291068083,0.24840285606914697,0.0,0.0
39.0,1.0,31.275,"Andersson, Mr. Anders Johan",5,14,3,0,1,0,,347082,1.0,7,1,347082,7,3,3,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4.47,0.034900062460961896,0.48640861831391713,0.6000000000000001,0.6000000000000001
14.0,1.0,7.8542,"Vestrom, Miss. Hulda Amanda Adolfina",0,15,3,1,0,0,,350406,1.0,1,3,350406,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,7.85,0.061289818863210485,0.17324314167606164,0.0,0.0
55.0,1.0,16.0,"Hewlett, Mrs. (Mary D Kingcome) ",0,16,2,1,0,1,,248706,1.0,1,2,248706,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,16.0,0.12492192379762647,0.6868345233621446,0.0,0.0
2.0,3.0,29.125,"Rice, Master. Eugene",1,17,3,0,4,0,,382652,1.0,6,4,382652,6,3,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,4.85,0.03786695815115552,0.02292371288989102,0.5000000000000001,0.5000000000000001
30.0,1.0,13.0,"Williams, Mr. Charles Eugene",0,18,2,0,0,1,,244373,1.0,1,1,244373,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,13.0,0.10149906308557151,0.37366904672428913,0.0,0.0
