,passengerid,survived,pclass,name,age,sibsp,parch,ticket,fare,embarked,family_size,sex_0,sex_1,title_1,title_2,title_3,title_4,title_5,title_6,title_7,ticket_number,passengers_per_ticket,true_fare,true_fare_scaled
0,1,0,3,"Braund, Mr. Owen Harris",22.0,1,0,A/5 21171,7.25,1.0,2,1,0,1,0,0,0,0,0,0,21171,1,7.25,0.0326900532058797
1,2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,1,0,PC 17599,71.2833,3.0,2,0,1,0,1,0,0,0,0,0,17599,1,71.28,0.32139958517449724
2,3,1,3,"Heikkinen, Miss. Laina",26.0,0,0,STON/O2. 3101282,7.925,1.0,1,0,1,0,0,1,0,0,0,0,3101282,1,7.92,0.03571106501938858
3,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,113803,53.1,1.0,2,0,1,0,1,0,0,0,0,0,113803,2,26.55,0.11971322932635944
4,5,0,3,"Allen, Mr. William Henry",35.0,0,0,373450,8.05,1.0,1,1,0,1,0,0,0,0,0,0,373450,1,8.05,0.03629723149066642
5,6,0,3,"Moran, Mr. James",30.0,0,0,330877,8.4583,2.0,1,1,0,1,0,0,0,0,0,0,330877,1,8.46,0.03814591036161962
6,7,0,1,"McCarthy, Mr. Timothy J",54.0,0,0,17463,51.8625,1.0,1,1,0,1,0,0,0,0,0,0,17463,1,51.86,0.23383533231129947
7,8,0,3,"Palsson, Master. Gosta Leonard",2.0,3,1,349909,21.075,1.0,5,1,0,0,0,0,1,0,0,0,349909,4,5.27,0.023762286951032552
8,9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,347742,11.1333,1.0,3,0,1,0,1,0,0,0,0,0,347742,3,3.71,0.01672828929569844
9,10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,237736,30.0708,3.0,2,0,1,0,1,0,0,0,0,0,237736,2,15.04,0.06781495175399042
10,11,1,3,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,PP 9549,16.7,1.0,3,0,1,0,0,1,0,0,0,0,9549,2,8.35,0.03764992334746144
11,12,1,1,"Bonnell, Miss. Elizabeth",58.0,0,0,113783,26.55,1.0,1,0,1,0,0,1,0,0,0,0,113783,1,26.55,0.11971322932635944
12,13,0,3,"Saundercock, Mr. William Henry",20.0,0,0,A/5. 2151,8.05,1.0,1,1,0,1,0,0,0,0,0,0,2151,1,8.05,0.03629723149066642
13,14,0,3,"Andersson, Mr. Anders Johan",39.0,1,5,347082,31.275,1.0,7,1,0,1,0,0,0,0,0,0,347082,7,4.47,0.020155108666245827
14,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,350406,7.8542,1.0,1,0,1,0,0,1,0,0,0,0,350406,1,7.85,0.03539543691946974
15,16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,248706,16.0,1.0,1,0,1,0,1,0,0,0,0,0,248706,1,16.0,0.0721435656957345
16,17,0,3,"Rice, Master. Eugene",2.0,4,1,382652,29.125,2.0,6,1,0,0,0,0,1,0,0,0,382652,5,5.82,0.026242222021823428
17,18,1,2,"Williams, Mr. Charles Eugene",30.0,0,0,244373,13.0,1.0,1,1,0,1,0,0,0,0,0,0,244373,1,13.0,0.058616647127784284
18,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,1,0,345763,18.0,1.0,2,0,1,0,1,0,0,0,0,0,345763,1,18.0,0.08116151140770132
