cv,features,model,performance
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2', 'age_scaled']",Gradient Boosting,84.74
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'family_size_2', 'age_scaled']",Gradient Boosting,84.29
10,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'true_fare_scaled', 'age_scaled']",MLP,83.84
4,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",Gradient Boosting,83.84
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'true_fare_scaled', 'age_scaled']",MLP,83.76
50,"['pclass', 'is_alone', 'sex', 'title_1', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2', 'age_scaled', 'true_fare_scaled']",SVC,83.76
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",MLP,83.76
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'age_scaled']",Gradient Boosting,83.74
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'age_scaled']",Gradient Boosting,83.74
5,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",MLP,83.73
5,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",Gradient Boosting,83.73
10,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",Gradient Boosting,83.72
20,"['sex', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'is_alone', 'pclass', 'age_scaled', 'family_scaled', 'group_scaled']",Gradient Boosting,83.71
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",Gradient Boosting,83.65
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",Gradient Boosting,83.65
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",Gradient Boosting,83.65
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",Gradient Boosting,83.65
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",Gradient Boosting,83.65
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",Gradient Boosting,83.65
50,"['pclass', 'is_alone', 'sex_0', 'sex_1', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_1', 'family_size_2', 'family_size_3', 'group_size_1', 'group_size_2', 'group_size_3', 'age_scaled']",Gradient Boosting,83.65
50,"['pclass', 'is_alone', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'group_size_2']",Linear SVC,83.64
50,"['pclass', 'is_alone', 'sex', 'title_1', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2', 'age_scaled', 'true_fare_scaled']",Logistic Regression,83.64
50,"['pclass', 'is_alone', 'sex', 'title_1', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2', 'age_scaled', 'true_fare_scaled']",Linear SVC,83.64
50,"['pclass', 'is_alone', 'sex', 'title_1', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2', 'age_scaled', 'true_fare_scaled']",Gradient Boosting,83.64
50,"['pclass', 'is_alone', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_2', 'group_size_2']",SVC,83.64
50,"['pclass', 'is_alone', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'family_size_2', 'group_size_2']",Linear SVC,83.64
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2']",Gradient Boosting,83.63
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'group_size_2']",Gradient Boosting,83.63
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2']",Linear SVC,83.63
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'group_size_2']",SVC,83.63
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'group_size_2']",Linear SVC,83.63
50,"['pclass', 'is_alone', 'title_1', 'title_2', 'title_3', 'title_4', 'title_5', 'title_6', 'group_size_2']",Gradient Boosting,83.63
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'group_size_2']",MLP,83.63
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2']",Gradient Boosting,83.63
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2']",SVC,83.63
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2']",MLP,83.63
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2']",Linear SVC,83.63
50,"['pclass', 'is_alone', 'title_2', 'title_3', 'title_4', 'family_size_2', 'group_size_2', 'age_scaled']",Logistic Regression,83.63
